Málverkafölsunarmálið	nheng
hlut	nkeo
kvenna	nvfe
í	aþ
stjórnmálum	nhfþ
og	c
áhugasvið	nhfo
kvenna	nvfe
og	c
karla	nkfe
á	aþ
málþinginu	nheþg
.	.

Tvær	tfvfn
konur	nvfn
og	c
fjórir	tfkfn
karlar	nkfn
eru	sfg3fn
nú	aa
í	aþ
ráðherraliði	nheþ
flokksins	nkeeg
.	.

Vitað	sþghen
er	sfg3en
að	cn
fækka	sng
þarf	sfg3en
um	ao
einn	tfkeo
í	ao
haust	nheo
.	.

Siv	nven-s
Friðleifsdóttir	nven-s
er	sfg3en
enn	aa
umhverfisráðherra	nken
.	.

Breyting	nven
verður	sfg3en
þar	aa
á	aa
15.	ta
september	nkeo
.	.

Siv	nven-s
Friðleifsdóttir	nven-s
,	,
umhverfisráðherra	nken
(	(
B	x
)	)
:	:
«	«
Ég	fp1en
,	,
eins	aa
og	c
ég	fp1en
segi	sfg1en
þá	aa
dró	sfg1eþ
ég	fp1en
bara	aa
fram	aa
þetta	faheo
góða	lheovf
starf	nheo
sem	ct
að	aa
hefur	sfg3en
verið	ssg
unnið	sþghen
í	aþ
flokknum	nkeþg
á	aþ
sviði	nheþ
jafnréttismála	nhfe
og	c
það	fphen
er	sfg3en
alveg	aa
ljóst	lhensf
að	c
það	fphen
voru	sfg3fþ
þrjár	tfvfn
konur	nvfn
sem	ct
að	c
leiddu	sfg3fþ
lista	nkfo
í	aþ
síðustu	lvfþve
kosningum	nvfþ
og	c
það	fphen
var	sfg3eþ
talsvert	aa
litið	sþghen
til	ae
þess	fphee
og	c
mjög	aa
ánægjulegt	lhensf
.	.

Og	c
það	fphen
er	sfg3en
alveg	aa
ljóst	lhensf
að	c
konur	nvfn
í	aþ
flokknum	nkeþg
,	,
þær	fpvfn
halda	sfg3fn
þessu	faheþ
til	ae
haga	nkee
meðal	ae
annars	fohee
í	aþ
ályktunardrögunum	nhfþg
sem	ct
að	c
hér	aa
eru	sfg3fn
til	ae
umfjöllunar	nvee
.	.

Þannig	aa
að	c
það	fphen
er	sfg3en
mjög	aa
ánægjulegt	lhensf
hvað	fshen
þetta	fahen
starf	nhen
hefur	sfg3en
verið	ssg
öflugt	lhensf
hjá	aþ
okkur	fp1fþ
konunum	nvfþg
í	aþ
flokknum	nkeþg
.	.
»	»

Guðni	nken-s
Ágústsson	nken-s
,	,
varaformaður	nken
Framsóknarflokks	nkee-s
telur	sfg3en
eðlilegt	lheosf
að	cn
nýta	sng
kynjakvóta	nkeo
um	ao
sinn	nheo
í	ao
það	faheo
minnsta	lheove
.	.

Svanur	nken-s
Kristjánsson	nken-s
,	,
prófessor	nken
í	aþ
stjórnmálafræði	nveþ
tók	sfg3eþ
til	ae
máls	nhee
á	aþ
málþinginu	nheþg
.	.

Hann	fpken
segir	sfg3en
að	c
Framsóknarflokkurinn	nkengs
færi	svg3eþ
gegn	aþ
eigin	lvfþof
samþykktum	nvfþ
ef	c
konum	nvfþ
yrði	svg3eþ
fækkað	sþghen
í	aþ
ráðherrastólum	nkfþ
með	aþ
haustinu	nheþg
.	.

Svanur	nken-s
Kristjánsson	nken-s
,	,
prófessor	nken
í	aþ
stjórnmálafræði	nveþ
:	:
«	«
Ef	c
að	c
Siv	nven-s
Friðleifsdóttir	nven-s
yrði	svg3eþ
ekki	aa
lengur	aam
ráðherra	nken
og	c
engin	foven
kona	nven
kæmi	svg3eþ
í	ao
staðinn	nkeog
að	c
þá	aa
væri	svg3eþ
bara	aa
ein	tfven
kona	nven
sem	ct
að	aa
væri	svg3eþ
ráðherra	nken
,	,
sem	ct
sagt	sþghen
ein	tfven
kona	nven
af	aþ
5	ta
ráðherrum	nkfþ
eða	c
20%	tp
,	,
þannig	aa
að	c
það	fphen
væri	svg3eþ
mikið	lhensf
bakslag	nhen
fyrir	ao
jafnréttisbaráttuna	nveog
í	aþ
landinu	nheþg
.	.

Það	fphen
væri	svg3eþ
mikið	lhensf
bakslag	nhen
fyrir	ao
Framsóknarflokkinn	nkeogs
og	c
reyndar	aa
væri	svg3eþ
bara	aa
yfirlýsing	nven
um	ao
það	fpheo
að	c
flokkurinn	nkeng
tæki	svg3eþ
ekki	aa
neitt	foheo
mark	nheo
á	aþ
sínum	fevfþ
eigin	lvfþof
jafnréttisáætlunum	nvfþ
og	c
tæki	svg3eþ
heldur	aam
ekki	aa
neitt	foheo
mark	nheo
á	aþ
því	faheþ
sem	ct
flokkurinn	nkeng
hefur	sfg3en
bundið	ssg
í	ao
lög	nhfo
.	.
»	»

Lífeyrissjóðalán	nhfn

Landssamtök	nhfn-s
lífeyrissjóða	nkfe
telja	sfg3fn
að	c
íslenskir	lkfnsf
bankar	nkfn
stundi	svg3fn
látlausan	lkeosf
áróður	nkeo
til	ae
að	cn
sölsa	sng
undir	ao
sig	fpkfo
alla	foveo
lánastarfsemi	nveo
í	aþ
landinu	nheþg
.	.

Að	aþ
mati	nheþ
forsvarsmanna	nkfe
lífeyrissjóðanna	nkfeg
er	sfg3en
það	fphen
ástæðan	nveng
fyrir	aþ
því	fpheþ
að	c
Samtök	nhfn-s
banka	nkfe
og	c
verðbréfafyrirtækja	nhfe
fóru	sfg3fþ
fram	aa
á	ao
það	fpheo
við	ao
fjármálaráðherra	nkeo
að	c
lokað	sþghen
yrði	svg3eþ
á	ao
heimildir	nvfo
sjóðanna	nkfeg
til	ae
útlánastarfsemi	nvee
eða	c
þeim	fpkfþ
skorinn	sþgken
mun	nkeþ
þrengri	lkenvm
stakkur	nken
.	.

Mikill	lkensf
vöxtur	nken
hefur	sfg3en
verið	ssg
í	aþ
útlánum	nhfþ
lífeyrissjóða	nkfe
til	ae
einstaklinga	nkfe
og	c
nema	c
þau	fphfn
nú	aa
rúmum	lkfþsf
90	ta
milljörðum	nkfþ
króna	nvfe
.	.

Hrafn	nken-s
Magnússon	nken-s
,	,
framkvæmastjóri	nken
Landssamtaka	nhfe-s
lífeyrissjóða	nkfe
segir	sfg3en
að	c
sjóðirnir	nkfng
sitji	svg3fn
ekki	aa
einir	lkfnsf
undir	aþ
árásum	nvfþ
bankanna	nkfeg
því	fpheþ
þeir	fpkfn
hamist	svm3fn
einnig	aa
á	aþ
starfsemi	nveþ
Íbúðalánasjóðs	nkee-s
.	.

Landsmenn	nkfn
hljóti	svg3fn
því	aa
að	cn
sjá	sng
í	aa
gegnum	ao
látlausan	lkeosf
áróður	nkeo
bankanna	nkfeg
sem	ct
vilji	svg3fn
sölsa	sng
undir	ao
sig	fpkfo
alla	foveo
lánastarfsemi	nveo
í	aþ
landinu	nheþg
.	.

Hrafn	nken-s
Magnússon	nken-s
,	,
framkvæmdastjóri	nken
Landssamtaka	nhfe-s
lífeyrissjóða	nkfe
:	:
«	«
Við	fp1fn
mótmælum	sfg1fn
því	fpheþ
harðlega	aa
.	.

Við	fp1fn
teljum	sfg1fn
að	c
það	fphen
sé	svg3en
í	aþ
raun	nveþ
og	c
veru	nveþ
áratuga	nkfe
hefð	nven
bæði	c
hér	aa
og	c
víða	aa
erlendis	aa
að	cn
lána	sng
til	ae
sjóðfélaganna	nkfeg
.	.
»	»

Samtök	nhfn-s
banka	nkfe
og	c
verðbréfafyrirtækja	nhfe
hafa	sfg3fn
bent	ssg
á	ao
að	c
á	aþ
Norðurlöndum	nhfþ-s
tíðkist	svm3en
ekki	aa
að	c
lífeyrissjóðir	nkfn
standi	svg3fn
í	aþ
lánveitingum	nvfþ
til	ae
sjóðfélaga	nkfe
sinna	fekfe
.	.

Hrafn	nken-s
segir	sfg3en
að	c
það	fphen
sé	svg3en
vegna	ae
lítillar	lveesf
sjóðsöfnunar	nvee
lífeyrissjóðanna	nkfeg
þar	aa
.	.

Hrafn	nken-s
segir	sfg3en
hins	fakee
vegar	nkee
að	c
slík	fbhfn
lán	nhfn
þekkist	svm3en
í	aþ
Bandaríkjunum	nhfþgs
og	c
fleiri	lhfþvm
löndum	nhfþ
.	.

Hrafn	nken-s
Magnússon	nken-s
:	:
«	«
Ef	c
við	fp1fn
tökum	sfg1fn
til	ae
dæmis	nhee
land	nheo
eins	aa
og	c
Sviss	nheo-s
þar	aa
sem	c
að	c
lífeyrissparnaðurinn	nkeng
er	sfg3en
með	aþ
mesta	lheþve
móti	nheþ
.	.

þeir	fpkfn
eru	sfg3fn
í	aþ
öðru	lheþsf
sæti	nheþ
.	.

Hollendingar	nkfn-s
í	aþ
fyrsta	lheþve
sæti	nheþ
og	c
Íslendingar	nkfn-s
í	aþ
þriðja	lheþve
.	.

Lífeyrissjóðirnir	nkfng
í	aþ
Sviss	nheþ-s
sem	ct
hafa	sfg3fn
áratuga	nkfe
hefð	nveo
,	,
þeir	fpkfn
lána	sfg3fn
til	ae
sjóðfélaganna	nkfeg
.	.

Þannig	aa
að	c
þetta	fahen
er	sfg3en
engin	foven
nýlunda	nven
.	.
»	»

Þá	aa
gera	sfg3fn
bankarnir	nkfng
athugasemd	nveo
við	ao
að	c
útlánastarfsemi	nven
lífeyrissjóðanna	nkfeg
skekki	svg3en
samkeppnisstöðu	nveo
á	aþ
þeim	fakeþ
markaði	nkeþ
þar	aa
sem	c
sjóðirnir	nkfng
séu	svg3fn
undanþegnir	lkfnsf
tekjuskattskyldu	nveþ
og	c
hafi	svg3fn
því	aa
aðgang	nkeo
að	aþ
ódýrara	lheþvm
fé	nheþ
en	c
bankarnir	nkfng
.	.

Hrafn	nken-s
segir	sfg3en
hagræði	nheo
lífeyrissjóðanna	nkfeg
stafa	sng
af	aþ
öðrum	fokfþ
þáttum	nkfþ
.	.

Hrafn	nken-s
Magnússon	nken-s
:	:
«	«
Og	c
sannleikurinn	nkeng
er	sfg3en
auðvitað	aa
sá	faken
að	c
sko	aa
kostnaður	nken
lífeyrissjóðanna	nkfeg
,	,
hann	fpken
er	sfg3en
auðvitað	aa
bara	aa
brot	nhen
af	aþ
þeim	fakeþ
kostnaði	nkeþ
sem	ct
er	sfg3en
í	aþ
bönkunum	nkfþg
og	c
verður	sfg3en
það	fphen
alltaf	aa
.	.

Lífeyrissjóðirnir	nkfng
eru	sfg3fn
reknir	sþgkfn
ekki	aa
í	aþ
samkeppnisumhverfi	nheþ
eins	aa
og	c
bankarnir	nkfng
,	,
þannig	aa
að	c
þeir	fpkfn
eru	sfg3fn
auðvitað	aa
með	ao
langtum	aa
minni	lkeovm
kostnað	nkeo
.	.
»	»

Ker	nhen-s
sýknað	sþghen
af	aþ
skaðabótakröfu	nveþ

Dómur	nken
féll	sfg3eþ
í	ao
dag	nkeo
í	aþ
skaðabótamáli	nheþ
á	ao
hendur	nvfo
Keri	nheþ-s
,	,
fyrrverandi	lkeeof
eiganda	nkee
Olíufélagsins	nheegs
.	.

Húsasmiður	nken
á	aþ
Húsavík	nveþ-s
hafði	sfg3eþ
farið	ssg
fram	aa
á	ao
tæpar	lvfosf
200	to
þúsund	tfvfo
krónur	nvfo
í	ao
bætur	nvfo
vegna	ae
samráðs	nhee
olíufélaganna	nhfeg
.	.

2	ta
liðum	nkfþ
var	sfg3eþ
vísað	sþghen
frá	aa
,	,
sýknað	sþghen
var	sfg3eþ
í	aþ
tveimur	tfvfþ
öðrum	fovfþ
kröfum	nvfþ
.	.

Dóms	nkee
Héraðsdóms	nkee-s
Reykjavíkur	nvee-s
hefur	sfg3en
verið	ssg
beðið	sþghen
með	aþ
óþreyju	nveþ
en	c
fleiri	lkfnvm
hafa	sfg3fn
hugsað	ssg
sér	fpkfþ
að	cn
sækja	sng
álíka	lhfoof
mál	nhfo
gegn	aþ
olíufélögunum	nhfþg
.	.

Fordæmið	nheng
var	sfg3eþ
gefið	sþghen
þegar	c
dómur	nken
féll	sfg3eþ
í	ao
dag	nkeo
.	.

Fjöslkipaður	lkensf
dómur	nken
Héraðsdsóms	nkee-s
,	,
2	ta
héraðsdómarar	nkfn
og	c
einn	tfken
hagfræðingur	nken
kvað	sfg3eþ
í	ao
dag	nkeo
upp	aa
dóminn	nkeog
.	.

Mál	nhen
sem	ct
þetta	fahen
á	sfg3en
sér	fpheþ
engin	fohfo
fordæmi	nhfo
,	,
hvorgi	x
hér	aa
á	aþ
landi	nheþ
né	c
annars	fokee
staðar	nkee
í	aþ
Evrópu	nveþ-s
.	.

Sigurður	nken-s
Hreinsson	nken-s
,	,
húsasmiður	nken
á	aþ
Húsavík	nveþ-s
,	,
hafði	sfg3eþ
farið	ssg
fram	aa
á	ao
180	to
þúsund	tfvfo
krónur	nvfo
í	ao
bætur	nvfo
fyrir	ao
það	faheo
tjón	nheo
sem	ct
hann	fpken
taldi	sfg3eþ
sig	fpkeo
hafa	sng
orðið	ssg
fyrir	aa
vegna	ae
samráðs	nhee
olíufélaganna	nhfeg
.	.

Lögmaður	nken
Sigurðar	nkee-s
segir	sfg3en
að	c
þó	aa
svo	aa
að	c
brattan	lkeosf
hafi	svg3en
verið	ssg
að	cn
sækja	sng
sé	svg3en
niðurstaðan	nveng
vonbrigði	nhfn
.	.

Steinar	nken-s
Þór	nken-s
Guðgeirsson	nken-s
,	,
hæstaréttarlögmaður	nken
:	:
«	«
Ja	au
,	,
næstu	lhfnve
skref	nhfn
er	sfg3en
í	aþ
sjálfu	fbheþ
sér	fpheþ
bara	aa
að	cn
skoða	sng
dóminn	nkeog
ítarlega	aa
,	,
ég	fp1en
nú	aa
rétt	aa
búin	lvensf
að	cn
renna	sng
yfir	ao
hann	fpkeo
bara	aa
og	c
svo	aa
sest	sfm1en
ég	fp1en
niður	aa
með	aþ
mínum	fekeþ
umbjóðenda	nkeþ
og	c
förum	sfg1fn
yfir	ao
það	fpheo
.	.

Ég	fp1en
svona	aa
bíst	sfm1en
fastlega	aa
við	aþ
því	fpheþ
að	aþ
þessu	faheþ
verður	sfg3en
áfrýjað	sþghen
til	ae
hæstaréttar	nkee
.	.
»	»

Niðurstaða	nven
dómsins	nkeeg
var	sfg3eþ
sú	faven
að	c
verulega	aa
hefði	svg3eþ
skort	ssg
á	ao
að	c
gögn	nhfn
sem	ct
sönnuðu	svg3fþ
tjónið	nheog
hefðu	svg3fþ
verið	ssg
lögð	sþghfn
fram	aa
.	.

Steinar	nken-s
Þór	nken-s
Guðgeirsson	nken-s
:	:
«	«
Það	fphen
lág	x
auðvitað	aa
fyrir	aa
að	c
sönnunarbyrðin	nveng
er	sfg3en
auðvitað	aa
gríðarlega	aa
erfið	lvensf
,	,
kannski	aa
einu	lkfnvf
aðilarnir	nkfng
sem	ct
vita	sfg3fn
nákvæmlega	aa
hvernig	aa
þetta	fahen
liggur	sfg3en
eru	sfg3fn
olíufélögin	nhfng
sjálf	fbhfn
.	.
»	»

Lögmaður	nken
Kers	e
var	sfg3eþ
að	aþ
vonum	nvfþ
ánægður	lkensf
en	c
varaði	sfg3eþ
þó	aa
við	aþ
að	c
ályktanir	nvfn
væru	svg3fþ
dregnar	sþgvfn
af	aþ
dómnum	nkeþg
þar	aa
sem	c
aðeins	aa
væri	svg3eþ
um	ao
að	cn
ræða	sng
mál	nheo
í	aþ
Héraði	nheþ-s
.	.

Oddgeir	nken-s
Einarsson	nken-s
,	,
héraðsdómslögmaður	nken
:	:
«	«
Óskaniðurstaðan	nveng
hefði	svg3eþ
náttúrulega	aa
verið	ssg
bara	aa
sýknað	sþghen
að	aþ
öllu	foheþ
leyti	nheþ
,	,
það	fphen
var	sfg3eþ
þarna	aa
vísað	sþghen
frá	aa
2	ta
kröfum	nvfþ
af	aþ
nokkrum	fovfþ
en	c
þetta	fahen
er	sfg3en
hins	fakee
vegar	nkee
alls	fohee
ekki	aa
slæm	lvensf
niðurstaða	nven
,	,
ég	fp1en
get	sfg1en
alveg	aa
staðfest	ssg
það	fpheo
.	.
»	»

Fjárlög	nhfn
2007	ta
samþykkt	sþghfn

Fjárlög	nhfn
næsta	lheeve
árs	nhee
voru	sfg3fþ
samþykkt	sþghfn
á	aþ
Alþingi	nheþ-s
í	ao
morgun	nkeo
með	aþ
34	ta
atkvæðum	nhfþ
meirihlutans	nkeeg
en	c
26	ta
sátu	sfg3fþ
hjá	aa
.	.

Kosningafjárlög	nhfo
sagði	sfg3eþ
stjórnarandstaðan	nveng
og	c
ljóst	lhensf
að	c
erindi	nheþ
þessara	x
ríkisstjórnar	nvee
er	sfg3en
lokið	sþghen
.	.

Fjármálaráðherra	nken
segir	sfg3en
þau	fphfo
til	ae
merkis	nhee
um	ao
mikið	lheosf
hagvaxtarskeið	nheo
enda	c
afgangurinn	nkeng
um	aa
9	ta
milljarðar	nkfn
króna	nvfe
.	.

Jóhanna	nven-s
Vigdís	nven-s
Hjaltadóttir	nven-s
er	sfg3en
á	aþ
Alþingi	nheþ-s
,	,
síðasta	lvenve
umræðan	nveng
um	ao
fjárlögin	nhfog
stóðu	sfg3fþ
í	ao
tæpar	lvfosf
13	ta
klukkustundir	nvfo
í	aa
gær	aa
.	.

Páll	nken-s
Benediktsson	nken-s
:	:
«	«
Jóhanna	nven-s
,	,
er	sfg3en
eitthvað	fohen
nýtt	lhensf
að	cn
frétta	sng
?	?
»	»

Jóhanna	nven-s
Vigdís	nven-s
Hjaltadóttir	nven-s
:	:
«	«
Nei	au
það	fphen
er	sfg3en
varla	aa
hægt	lhensf
að	cn
segja	sng
það	fpheo
,	,
Páll	nken-s
,	,
en	c
menn	nkfn
töluðu	sfg3fþ
hins	fakee
vegar	nkee
lengi	aa
.	.

Metið	nheog
átti	sfg3eþ
Kristján	nken-s
L.	as
Möller	nken-s
,	,
Samfylkingunni	nveþgs
en	c
hann	fpken
talaði	sfg3eþ
í	ao
80	ta
mínútur	nvfo
og	c
næstur	lkense
kom	sfg3eþ
Guðjón	nken-s
Ólafur	nken-s
Jónsson	nken-s
,	,
Framsóknarflokki	nkeþ-s
sem	ct
talaði	sfg3eþ
í	ao
75	ta
mínútur	nvfo
.	.

En	c
við	fp1fn
skulum	sfg1fn
líta	sng
núna	aa
á	ao
lokaatkvæðagreiðslurnar	nvfog
í	ao
morgun	nkeo
.	.
»	»

Árni	nken-s
M.	as
Mathiesen	nken-s
,	,
fjármálaráðherra	nken
:	:
«	«
Þetta	fahen
frumvarp	nhen
markast	sfm3en
að	aþ
sjálfsögðu	lheþsf
að	aþ
verulegu	lheþsf
leyti	nheþ
að	aþ
því	faheþ
mikla	lheþvf
hagvaxtarskeiði	nheþ
sem	ct
við	fp1fn
höfum	sfg1fn
lifað	ssg
á	aþ
síðustu	lhfþve
árum	nhfþ
.	.

Og	c
vegna	ae
þess	fphee
að	c
ég	fp1en
treysti	sfg1en
mér	fp1eþ
til	ae
þess	fphee
að	cn
bera	sng
ábyrgð	nveo
á	aþ
þessu	faheþ
frumvarpi	nheþ
þó	aa
að	c
stjórnarandstaðan	nveng
treystir	sfg3en
sér	fpveþ
ekki	aa
til	ae
að	cn
bera	sng
ábyrgð	nveo
á	aþ
neinu	foheþ
sem	ct
hér	aa
fer	sfg3en
fram	aa
þá	aa
segi	sfg1en
ég	fp1en
já	au
.	.
»	»

Ingibjörg	nven-s
Sólrún	nven-s
Gísladóttir	nven-s
,	,
alþingismaður	nken
:	:
«	«
Þetta	fahen
eru	sfg3fn
kosningafjárlög	nhfn
,	,
því	fpheþ
að	c
ríkisstjórnin	nveng
rær	sfg3en
nú	aa
lífróður	nkeo
.	.

Erindi	nheþ
hennar	fpvee
er	sfg3en
lokið	sþghen
.	.

Hún	fpven
er	sfg3en
,	,
þreki	nheþ
hennar	fpvee
er	sfg3en
lokið	sþghen
og	c
það	fphen
mun	sfg3en
að	aþ
sjálfsögðu	lheþsf
vera	sng
skipt	sþghen
um	ao
ríkisstjórn	nveo
hér	aa
í	aþ
kosningum	nvfþ
í	ao
vor	nheo
.	.
»	»

Steingrímur	nken-s
J.	as
Sigfússon	nken-s
,	,
alþingismaður	nken
:	:
«	«
Þetta	fahen
fjárlagafrumvarp	nhen
sem	ct
kemur	sfg3en
nú	aa
til	ae
lokaafgreiðslu	nvee
,	,
frumvarp	nhen
hæstvirtar	lveesf
ríkisstjórnar	nvee
er	sfg3en
vonandi	aa
og	c
nokkuð	fohen
örugglega	aa
hennar	fpvee
síðasta	lhenve
.	.

Það	fphen
ber	sfg3en
nokkur	fohfo
merki	nhfo
af	aþ
því	fpheþ
að	c
kosningar	nvfn
eru	sfg3fn
á	aþ
næsta	lheþve
ári	nheþ
.	.
»	»

Magnús	nken-s
Þór	nken-s
Hafsteinsson	nken-s
,	,
alþingismaður	nken
:	:
«	«
Verði	svg3en
þeim	fpkfþ
að	aþ
góðu	lheþsf
,	,
þeirra	fpkfe
er	sfg3en
skömmin	nveng
,	,
þeir	fpkfn
sitja	sfg3fn
uppi	aa
með	ao
hana	fpveo
,	,
en	c
verði	svg3en
þeim	fpkfþ
að	aþ
góðu	lheþsf
.	.
»	»

Jóhanna	nven-s
:	:
«	«
Og	c
þarna	aa
talaði	sfg3eþ
Magnús	nken-s
Þór	nken-s
Hafsteinsson	nken-s
,	,
þingflokksformaður	nken
Frjálslynda	lkeevf
flokksins	nkeeg
til	ae
stjórnarmeirihlutans	nkeeg
og	c
átti	sfg3eþ
við	ao
fjárlagafrumvarpið	nheog
sjálft	fbheo
.	.

En	ct
er	sfg3en
óljóst	lhensf
hvenær	aa
þingstörfunum	nhfþg
líkur	sfg3en
.	.

Þeim	fphfþ
átti	sfg3eþ
að	cn
ljúka	sng
samkvæmt	aþ
starfsáætlun	nveþ
á	ao
föstudaginn	nkeog
en	c
það	fphen
er	sfg3en
alveg	aa
deginum	nkeþg
ljósara	lhenvm
að	c
svo	aa
verði	svg3en
ekki	aa
því	fpheþ
fyrir	aa
nú	aa
fyrir	aþ
stundu	nveþ
var	sfg3eþ
ákveðið	sþghen
að	c
önnur	lvensf
umræða	nven
um	ao
frumvarp	nheo
ríkisstjórnarinnar	nveeg
um	ao
Ríkisútvarpið	nheogs
ohf.	as
,	,
hún	fpven
verður	sfg3en
á	aþ
dagskrá	nveþ
Alþingis	nhee-s
klukkan	nveng
hálf	aa
ellefu	ta
í	ao
fyrramálið	nheog
.	.

Önnur	lvensf
umræða	nven
frumvarpa	nhfe
,	,
við	ao
hana	fpveo
þá	aa
er	sfg3en
ræðutími	nken
ótakmarkaður	lkensf
,	,
þetta	fahen
segir	sfg3en
okkur	fp1fþ
það	fpheo
að	c
framundan	aa
er	sfg3en
um	x
umræða	nven
um	ao
Ríkisútvarpið	nheogs
sennilega	aa
næstu	lkfove
sólarhringana	nkfog
,	,
vegna	ae
þess	fphee
að	c
heldur	aam
liggur	sfg3en
ekkert	fohen
fyrir	aa
neitt	fohen
samkomulag	nhen
milli	ae
flokkanna	nkfeg
hér	aa
á	aþ
Alþingi	nheþ-s
um	ao
þingstörfin	nhfog
framundan	aa
.	.

En	c
þetta	fahen
skýrist	sfm3en
allavega	aa
allt	fohen
núna	aa
alveg	aa
á	aþ
næstunni	nveþg
.	.

Þingfundur	nken
hefst	sfm3en
aftur	aa
hér	aa
á	aþ
Alþingi	nheþ-s
klukkan	nveng
átta	ta
í	ao
kvöld	nheo
þar	aa
sem	c
fjallað	sþghen
verður	sfg3en
um	ao
skattalækkunarfrumvarp	nheo
ríkisstjórnarinnar	nveeg
og	c
síðan	aa
er	sfg3en
það	fphen
Ríkisútvarpið	nhengs
ohf.	as
klukkan	nveng
hálf	aa
ellefu	ta
í	ao
fyrramálið	nheog
en	c
við	fp1fn
ætlum	sfg1fn
að	cn
segja	sng
gott	lheosf
héðan	aa
frá	aþ
Alþingi	nheþ-s
í	aþ
bili	nheþ
.	.
»	»

Baugsmál	nhen-s
-	-
frestun	nven
vegna	ae
ákæru	nvee
úrskurðar	nkee

Fresta	sng
þurfti	sfg3eþ
málflutningi	nkeþ
í	aþ
máli	nheþ
Jóns	nkee-s
Ásgeirs	nkee-s
Jóhannessonar	nkee-s
og	c
fleiri	lkfevm
gegn	aþ
yfirmönnum	nkfþ
efnahagsbrotadeildar	nvee
í	aþ
Héraðsdómi	nkeþ-s
í	ao
morgun	nkeo
þegar	c
úrskurður	nken
dómara	nkee
var	sfg3eþ
kærður	sþgken
til	ae
Hæstaréttar	nkee-s
.	.

Í	aþ
sjálfu	fbheþ
Baugsmálinu	nheþgs
lögðu	sfg3fþ
verjendur	nkfn
fram	aa
um	ao
það	faheo
bil	nheo
100	ta
nafna	nhfe
vitnalista	nkeo
.	.

Máls	x
Jóns	nkee-s
Ásgeirs	nkee-s
og	c
4	ta
annarra	fokfe
snýst	sfm3en
um	ao
rannsókn	nveo
á	aþ
meintum	lhfþsf
skattalagabrotum	nhfþ
þeirra	fpkfe
en	c
fimmmenningarnir	nkfng
telja	sfg3fn
yfirmenn	nkfo
efnahagsbrotadeildar	nvee
vanhæfa	lkfosf
til	ae
að	cn
rannsaka	sng
málið	nheog
.	.

Ef	c
fólki	nheþ
fannst	sfm3eþ
Baugsmálið	nhengs
flókið	lhensf
fyrir	aa
þá	aa
er	sfg3en
ekki	aa
hægt	lhensf
að	cn
segja	sng
að	c
það	fphen
hafi	svg3en
einfaldast	ssm
í	ao
dag	nkeo
.	.

Í	ao
morgun	nkeo
úrskurðaði	sfg3eþ
dómari	nken
að	c
Jón	nken-s
H.	as
B.	as
Snorrason	nken-s
og	c
Haraldur	nken-s
Johannessen	nken-s
,	,
ríkislögreglustjóri	nken
,	,
þyrftu	svg3fþ
ekki	aa
að	cn
bera	sng
vitni	nheo
fyrir	aþ
dómi	nkeþ
en	c
verjendur	nkfn
sakborninga	nkfe
kærðu	sfg3fþ
þann	fakeo
úrskurð	nkeo
til	ae
Hæstaréttar	nkee-s
.	.

En	c
hvers	fshee
vegna	ae
telja	sfg3fn
verjendur	nkfn
það	fpheo
svo	aa
mikilvægt	lheosf
að	c
þessir	fakfn
menn	nkfn
gefi	svg3fn
skýrslu	nveo
fyrir	aþ
dómi	nkeþ
.	.

Þórunn	nven-s
Guðmundsdóttir	nven-s
,	,
hæstaréttarlögmaður	nken
:	:
«	«
Vegna	ae
þess	fphee
að	c
það	fphen
þarf	sfg3en
að	cn
vera	sng
algerlega	aa
hafið	sþghen
yfir	ao
allan	fokeo
vafa	nkeo
að	c
þeir	fakfn
sem	ct
eru	sfg3fn
að	cn
rannsaka	sng
þetta	faheo
mál	nheo
séu	svg3fn
ekki	aa
fyrirfram	aa
búin	x
að	cn
mynda	sng
sér	fpkfþ
þá	faveo
skoðun	nveo
að	c
skjólstæðingar	nkfn
okkar	fp1fe
séu	svg3fn
sekir	lkfnsf
.	.
»	»

Ummæli	nhfn
í	aþ
fjölmiðlum	nkfþ
bendir	sfg3en
til	ae
þess	fphee
.	.

Þórunn	nven-s
gefur	sfg3en
lítið	lheosf
fyrir	ao
þá	faveo
skýringu	nveo
að	c
rangt	lhensf
hafi	svg3en
verið	ssg
haft	sþghen
eftir	aþ
þessum	fakfþ
mönnum	nkfþ
í	aþ
fjölmiðlum	nkfþ
.	.

Þórunn	nven-s
Guðmundsdóttir	nven-s
:	:
«	«
Þeir	fpkfn
sáu	sfg3fþ
enga	foveo
ástæðu	nveo
til	aa
leiðrétta	sng
á	aþ
sínum	fekeþ
tíma	nkeþ
.	.

Það	fphen
er	sfg3en
bara	aa
núna	aa
þegar	c
þetta	fahen
er	sfg3en
orðið	sþghen
,	,
varðar	sfg3en
okkar	fp1fe
skjólstæðinga	nkfo
miklu	lheþsf
að	aa
þá	aa
halda	sfg3fn
þeir	fpkfn
því	fpheþ
fram	aa
að	c
þetta	fahen
sé	svg3en
rangt	lhensf
eftir	aþ
þeim	fpkfþ
haft	sþghen
.	.
»	»

Jón	nken-s
H.	as
B.	as
segir	sfg3en
að	c
engin	foven
stoð	nven
sé	svg3en
fyrir	aþ
