Verslóritgerðir	nvfn-s
frá	aþ
1994	ta
.	.

Í	aþ
aðalsafni	nheþ
Borgarbóksafns	nhee-s
er	sfg3en
rekið	sþghen
Artótek	nhen-s
,	,
sem	ct
sér	sfg3en
um	ao
að	cn
leigja	sng
listaverk	nhfo
eftir	ao
samtímalistamenn	nkfo
í	aþ
samvinnu	nveþ
við	ao
Samband	nheo-s
íslenskra	lkfesf
myndlistarmanna	nkfe
.	.

Safnið	nheng
sér	sfg3en
einnig	aa
um	ao
að	cn
kynna	sng
íslenska	lkfosf
samtímahöfunda	nkfo
og	c
verk	nhfo
þeirra	fpkfe
á	aþ
bókmenntavef	nkeþ
sínum	fekeþ
,	,
www.bokmenntir.is	v
(	(
Borgarbókasafn	nhen-s
,	,
e.	x
d	x
)	)
.	.

Borgarbókavörður	nken
,	,
Anna	nven-s
Torfadóttir	nven-s
,	,
er	sfg3en
forstöðumaður	nken
Borgarbókasafns	nhee-s
en	c
safnstjóri	nken
er	sfg3en
yfir	aþ
hverju	foheþ
safni	nheþ
.	.

Samkvæmt	aþ
áætlun	nveþ
fyrir	ao
árið	nheog
2007	ta
eru	sfg3fn
starfsmenn	nkfn
104	ta
í	aþ
85,3	ta
stöðugildum	nhfþ
.	.

Fjárhagsrammi	nken
fyrir	ao
árið	nheog
2007	ta
er	sfg3en
486.207.000	ta
krónur	nvfn
.	.

Gestafjöldi	nken
er	sfg3en
áætlaður	sþgken
580.000	ta
á	aþ
árinu	nheþg
,	,
þar	aa
af	aa
skólanemar	nkfn
í	aþ
skipulögðum	lvfþsf
heimsóknum	nvfþ
6.000	ta
.	.

Áætlaður	lkensf
safnkostur	nken
er	sfg3en
490.000	ta
gögn	nhfn
og	c
afgreiðslustundir	nvfn
safna	nhfe
og	c
bókabíls	nkee
á	aþ
viku	nveþ
360	ta
og	c
fjöldi	nken
viðburða	nkfe
210	ta
(	(
Reykjavíkurborg	nven-s
,	,
2007	ta
)	)
.	.

2.4.3	ta
Menningarmiðstöðin	nveng
Gerðuberg	nhen-s
Menningarmiðstöðin	nveng
Gerðuberg	nhen-s
tók	sfg3eþ
til	ae
starfa	nhfe
árið	nheog
1983	ta
.	.

Starfsemi	nven
Menningarstofnunarinnar	nveegs
er	sfg3en
tvíþætt	lvensf
.	.

Annars	fokee
vegar	nkee
er	sfg3en
um	ao
öfluga	lveosf
og	c
margþætta	lveosf
menningarstarfsemi	nveo
að	cn
ræða	sng
sem	ct
felst	sfm3en
meðal	ae
annars	fohee
í	aþ
listsýningum	nvfþ
,	,
tónleikum	nkfþ
,	,
útgáfu	nveþ
,	,
fræðslu	nveþ
sem	ct
tengist	sfm3en
hinum	favfþ
ýmsu	fovfþ
listum	nvfþ
og	c
svo	aa
loks	aa
rit-	nhfþ
,	,
tón-	nhfþ
og	c
sjónþingum	nhfþ
.	.

Hins	fakee
vegar	nkee
er	sfg3en
rekið	sþghen
innan	ae
Menningarmiðstöðvarinnar	nveegs
félagsstarf	nhen
sem	ct
er	sfg3en
opið	lhensf
öllum	fokfþ
óháð	aþ
búsetu	nveþ
og	c
aldri	nkeþ
.	.

Félagsstarfið	nheng
er	sfg3en
afmarkaður	lkensf
þáttur	nken
innan	ae
Gerðubergs	nhee-s
og	c
hefur	sfg3en
starfsemin	nveng
til	ae
að	cn
mynda	sng
eigið	lheosf
hlutverk	nheo
og	c
leiðarljós	nheo
,	,
en	c
rekstur	nken
þess	fphee
tilheyrir	sfg3en
þó	aa
alfarið	aa
Gerðubergi	nheþ-s
.	.

Framkvæmdastjóri	nken
frá	aþ
upphafi	nheþ
til	ae
dagsins	nkeeg
í	ao
dag	nkeo
er	sfg3en
Elísabet	nven-s
B.	as
Þórisdóttir	nven-s
(	(
Gerðuberg	nhen-s
,	,
e.	x
d	x
)	)
.	.

Samkvæmt	aþ
áætlun	nveþ
fyrir	ao
árið	nheog
2007	ta
eru	sfg3fn
starfsmenn	nkfn
17	ta
í	aþ
10,8	ta
stöðugildum	nhfþ
.	.

Fjárhagsrammi	nken
fyrir	ao
árið	nheog
2007	ta
er	sfg3en
85.752.000	ta
krónur	nvfn
.	.

Gestafjöldi	nken
er	sfg3en
áætlaður	sþgken
130.000	ta
á	aþ
árinu	nheþg
og	c
þar	aa
af	aa
er	sfg3en
gert	sþghen
ráð	nhen
fyrir	aþ
1.400	ta
skólanemum	nkfþ
í	aþ
skipulögðum	lvfþsf
heimsóknum	nvfþ
.	.

Fjöldi	nken
viðburða	nkfe
verða	sfg3fn
50	ta
á	aþ
árinu	nheþg
og	c
eru	sfg3fn
samstarfsaðilar	nkfn
áætlaðir	sþgkfn
um	aa
75	ta
(	(
Reykjavíkurborg	nven-s
,	,
2007	ta
)	)
.	.

2.4.4	ta
Listasafn	nhen-s
Reykjavíkur	nvee-s
Listasafn	nhen-s
Reykjavíkur	nvee-s
er	sfg3en
starfrækt	sþghen
á	aþ
þremur	tfkfþ
stöðum	nkfþ
í	aþ
Reykjavík	nveþ-s
,	,
í	aþ
Hafnarhúsinu	nheþgs
,	,
á	aþ
Kjarvalsstöðum	nkfþ-s
og	c
í	aþ
Ásmundarsafni	nheþ-s
.	.

Árið	nheog
2006	ta
var	sfg3eþ
mörkuð	sþgven
ný	lvensf
og	c
skýr	lvensf
stefna	nven
í	aþ
sýningarstarfi	nheþ
safnsins	nheeg
og	c
var	sfg3eþ
haft	sþghen
að	aþ
leiðarljósi	nheþ
að	cn
gefa	sng
borgarbúum	nkfþ
sem	ct
besta	lveose
yfirsýn	nveo
og	c
skilning	nkeo
á	aþ
víðtækri	lveþsf
list	nveþ
samtímans	nkeeg
,	,
erlendri	lveþsf
sem	c
innlendri	lveþsf
.	.

Listasafn	nhen-s
Reykjavíkur	nvee-s
í	aþ
Hafnarhúsinu	nheþgs
,	,
Tryggvagötu	nveþ-s
17	ta
,	,
var	sfg3eþ
opnað	sþghen
í	aþ
apríl	nkeþ
árið	nheog
2000	ta
.	.

Þar	aa
eru	sfg3fn
settar	sþgvfn
upp	aa
sýningar	nvfn
úr	aþ
almennri	lveþsf
listaverkaeign	nveþ
safnsins	nheeg
,	,
sýningar	nvfn
á	aþ
verkum	nhfþ
eftir	ao
íslenska	lkfosf
og	c
erlenda	lkfosf
listamenn	nkfo
auk	ae
þess	fphee
sem	c
reglulega	aa
eru	sfg3fn
sýningar	nvfn
á	aþ
verkum	nhfþ
Errós	nkee-s
.	.

Kjarvalsstaðir	nkfn-s
voru	sfg3fþ
opnaðir	sþgkfn
árið	nheog
1973	ta
.	.

Þar	aa
er	sfg3en
varðveitt	sþgven
listaverkaeign	nven
Reykjavíkurborgar	nvee-s
,	,
þar	aa
á	aa
meðal	aa
stórt	lhensf
safn	nhen
verka	nhfe
Jóhannesar	nkee-s
S.	as
Kjarvals	nkee-s
.	.

Á	aþ
Kjarvalsstöðum	nkfþ-s
eru	sfg3fn
settar	sþgvfn
upp	aa
sýningar	nvfn
á	aþ
verkum	nhfþ
eftir	ao
íslenska	lkfosf
og	c
erlenda	lkfosf
listamenn	nkfo
með	ao
áherslu	nveo
á	ao
samtímalist	nveo
.	.

Sýningar	nvfn
á	aþ
verkum	nhfþ
eftir	ao
Kjarval	nkeo-s
eiga	sfg3fn
sér	fpvfþ
svo	aa
fastan	lkeosf
sess	nkeo
í	aþ
austursal	nkeþ
safnsins	nheeg
.	.

Ásmundarsafn	nhen-s
var	sfg3eþ
formlega	aa
opnað	sþghen
árið	nheog
1983	ta
.	.

Húsið	nheng
,	,
sem	ct
var	sfg3eþ
heimili	nhen
og	c
vinnustofa	nven
Ásmundar	nkee-s
Sveinssonar	nkee-s
,	,
var	sfg3eþ
hannað	sþghen
og	c
byggt	sþghen
af	aþ
honum	fpkeþ
sjálfum	fbkeþ
.	.

Ásmundur	nken-s
ánafnaði	sfg3eþ
Reykjavíkurborg	nveþ-s
hús	nheo
sitt	feheo
og	c
verk	nhfo
eftir	ao
sinn	fekeo
dag	nkeo
.	.

Í	aþ
safninu	nheþg
er	sfg3en
árlega	aa
sett	sþgven
upp	aa
sýning	nven
á	aþ
verkum	nhfþ
listamannsins	nkeeg
sem	ct
ætlað	sþghen
er	sfg3en
að	cn
draga	sng
fram	aa
sérstakt	lheosf
sjónarhorn	nheo
á	ao
listsköpun	nveo
hans	fpkee
(	(
Reykjavíkurborg	nven-s
,	,
e.	x
d	x
)	)
.	.

Samkvæmt	aþ
áætlun	nveþ
fyrir	ao
árið	nheog
2007	ta
eru	sfg3fn
starfsmenn	nkfn
Listasafnsins	nheegs
41	ta
í	aþ
21,6	ta
stöðugildum	nhfþ
,	,
en	c
stór	lkensf
hluti	nken
starfsmanna	nkfe
vinnur	sfg3en
einungis	aa
í	aþ
hlutastörfum	nhfþ
við	ao
sýningahald	nheo
.	.

Fjárhagsrammi	nken
fyrir	ao
árið	nheog
2007	ta
er	sfg3en
239.760.000	ta
krónur	nvfn
.	.

Gestafjöldi	nken
er	sfg3en
áætlaður	sþgken
155.000	ta
á	aþ
árinu	nheþg
og	c
þar	aa
af	aa
er	sfg3en
gert	sþghen
ráð	nhen
fyrir	aþ
10.000	ta
skólanemum	nkfþ
í	aþ
skipulögðum	lvfþsf
heimsóknum	nvfþ
.	.

Fjöldi	nken
viðburða	nkfe
verða	sfg3fn
61	ta
á	aþ
árinu	nheþg
.	.

Fjöldi	nken
listaverka	nhfe
í	aþ
eigu	nveþ
safnsins	nheeg
er	sfg3en
13.559	ta
og	c
fjöldi	nken
útilistaverka	nhfe
í	aþ
umsjón	nveþ
safnsins	nheeg
er	sfg3en
135	ta
.	.

Hafþór	nken-s
Yngvason	nken-s
er	sfg3en
forstöðumaður	nken
Listasafns	nhee-s
Reykjavíkur	nvee-s
(	(
Reykjavíkurborg	nven-s
,	,
2007	ta
)	)
.	.

2.4.5	ta
Ljósmyndasafn	nhen-s
Reykjavíkur	nvee-s
Ljósmyndasafn	nhen-s
Reykjavíkur	nvee-s
var	sfg3eþ
stofnað	sþghen
árið	nheog
1981	ta
.	.

Upprunalega	aa
var	sfg3eþ
það	fphen
í	aþ
einkaeigu	nveþ
en	c
Reykjavíkurborg	nven-s
eignaðist	sfm3eþ
safnið	nheog
árið	nheog
1987	ta
.	.

Ljósmyndasafnið	nheng
er	sfg3en
eina	lhenvf
sjálfstætt	aa
starfandi	lhenof
ljósmyndasafnið	nheng
á	aþ
landinu	nheþg
.	.

Það	fphen
var	sfg3eþ
áður	aa
til	ae
húsa	nhfe
í	aþ
Borgartúni	nheþ-s
1	ta
,	,
en	c
árið	nheog
2000	ta
fluttist	sfm3eþ
safnið	nheng
í	ao
Grófarhús	nheo-s
og	c
deilir	sfg3en
þar	aa
nú	aa
húsnæði	nheþ
með	aþ
aðalsafni	nheþ
Borgarbókasafns	nhee-s
og	c
Borgarskjalasafni	nheþ-s
Reykjavíkur	nvee-s
.	.

Ljósmyndasafnið	nheng
leggur	sfg3en
áherslu	nveo
á	ao
að	cn
skapa	sng
fræði-	nheþ
og	c
fagfólki	nheþ
aðstöðu	nveo
og	c
tækifæri	nheo
til	ae
fjölbreyttra	lvfesf
rannsókna	nvfe
á	aþ
ljósmyndun	nveþ
og	c
þáttum	nkfþ
henni	fpveþ
tengdri	lveþsf
og	c
sinnir	sfg3en
auk	ae
þess	fphee
safnkennslu	nveþ
fyrir	ao
öll	fohfo
skólastigin	nhfog
.	.

Myndvinnsla	nven
er	sfg3en
starfrækt	sþgven
á	aþ
safninu	nheþg
og	c
annast	sfm3en
safnið	nheng
vinnslu	nveo
á	aþ
myndum	nvfþ
fyrir	ao
eigið	lheosf
safn	nheo
og	c
viðskiptavini	nkfo
.	.

Safnið	nheng
veitir	sfg3en
almenningi	nkeþ
,	,
fyrirtækjum	nhfþ
og	c
stofnunum	nvfþ
Reykjavíkurborgar	nvee-s
ráðgjöf	nveo
og	c
þjónustu	nveo
á	aþ
sviði	nheþ
ljósmyndunar	nvee
.	.

Á	aþ
heimasíðu	nveþ
Ljósmyndasafns	nhee-s
er	sfg3en
einnig	aa
aðgangur	nken
að	aþ
hinum	fahfþ
ýmsu	fohfþ
ljósmyndasöfnum	nhfþ
.	.

Safnið	nheng
stendur	sfg3en
fyrir	aþ
fjölda	nkeþ
innlendra	lvfesf
og	c
erlendra	lvfesf
ljósmyndasýninga	nvfe
á	aþ
hverju	foheþ
ári	nheþ
bæði	c
eitt	lhensf
og	c
sér	lhenof
og	c
í	aþ
samstarfi	nheþ
við	ao
önnur	fohfo
söfn	nhfo
og	c
fyrirtæki	nhfo
(	(
Ljósmyndasafn	nhen-s
e.d.	as
;	;
Reykjavíkurborg	nven-s
e.d.	as
)	)
.	.

Samkvæmt	aþ
áætlun	nveþ
fyrir	ao
árið	nheog
2007	ta
eru	sfg3fn
starfsmenn	nkfn
Ljósmyndasafnsins	nheegs
5	ta
í	aþ
5	ta
stöðugildum	nhfþ
.	.

Fjárhagsrammi	nken
fyrir	ao
árið	nheog
2007	ta
er	sfg3en
31.532.000	ta
krónur	nvfn
.	.

Gestafjöldi	nken
er	sfg3en
áætlaður	sþgken
25.000	ta
manns	nkee
á	aþ
árinu	nheþg
og	c
þar	aa
af	aa
er	sfg3en
gert	sþghen
ráð	nhen
fyrir	aþ
1.000	ta
skólanemum	nkfþ
í	aþ
skipulögðum	lvfþsf
heimsóknum	nvfþ
.	.

Fjöldi	nken
viðburða	nkfe
verða	sfg3fn
16	ta
á	aþ
árinu	nheþg
.	.

Forstöðumaður	nken
Ljósmyndasafnsins	nheegs
er	sfg3en
María	nven-s
Karen	nven-s
Sigurðardóttir	nven-s
(	(
Reykjavíkurborg	nven-s
,	,
2007	ta
)	)
.	.

2.4.6	ta
Minjasafn	nhen-s
Reykjavíkur	nvee-s
Árið	nheog
1954	ta
var	sfg3eþ
Skjala-	nhen-s
og	c
minjasafn	nhen
Reykjavíkur	nvee-s
formlega	aa
stofnað	sþghen
og	c
fékk	sfg3eþ
það	fphen
húsnæði	nheo
að	aþ
Skúlatúni	nheþ-s
2	ta
.	.

Árið	nheog
1957	ta
samþykkti	sfg3eþ
bæjarráð	nhen
að	c
á	aþ
jörðinni	nveþg
Árbæ	nkeþ-s
,	,
sem	ct
lengi	aa
hafði	sfg3eþ
verið	ssg
áningarstaður	nken
fólks	nhee
á	aþ
leið	nveþ
til	aa
og	c
frá	aþ
Reykjavík	nveþ-s
og	c
sem	ct
komin	sþgven
var	sfg3eþ
í	ao
eyði	nheo
,	,
skyldi	svg3eþ
búinn	sþgken
til	aa
almenningsgarður	nken
og	c
þar	aa
yrði	svg3eþ
komið	sþghen
upp	aa
safni	nheþ
gamalla	lhfesf
húsa	nhfe
sem	ct
hefðu	svg3fþ
menningarsögulegt	lheosf
gildi	nheo
.	.

Safnið	nheng
var	sfg3eþ
opnað	sþghen
sama	fbheo
ár	nheo
.	.

Fyrsta	lhenve
verkefni	nhen
hins	ghee
nýstofnaða	lheevf
safns	nhee
var	sfg3eþ
að	cn
endurbyggja	sng
Árbæinn	nkeogs
og	c
síðan	aa
var	sfg3eþ
byrjað	sþghen
á	aþ
að	cn
flytja	sng
gömul	lhfosf
hús	nhfo
úr	aþ
Reykjavík	nveþ-s
á	ao
safnið	nheog
og	c
endurbyggja	sng
þau	fphfo
.	.

Árið	nheog
1968	ta
voru	sfg3fþ
þessi	fahfn
tvö	tfhfn
söfn	nhfn
svo	aa
sameinuð	sþghfn
í	ao
það	faheo
sem	ct
nú	aa
er	sfg3en
Minjasafn	nhen-s
Reykjavíkur	nvee-s
.	.

Hlutverk	nhen
Minjasafnsins	nheegs
felst	sfm3en
í	aþ
rannsóknum	nvfþ
á	aþ
sögu	nveþ
borgarinnar	nveeg
og	c
minjavörslu	nveþ
.	.

Það	fphen
hefur	sfg3en
umsjón	nveo
og	c
eftirlit	nheo
með	aþ
menningarminjum	nvfþ
í	aþ
landi	nheþ
Reykjavíkur	nvee-s
ásamt	aþ
skráningu	nveþ
og	c
eftirliti	nheþ
fornleifa	nvfe
og	c
gamalla	lvfesf
bygginga	nvfe
.	.

Starfsemi	nven
Minjasafnsins	nheegs
er	sfg3en
fjölbreytt	lvensf
.	.

Í	aþ
Árbæjarsafni	nheþ-s
,	,
sem	ct
er	sfg3en
útisafn	nhen
,	,
er	sfg3en
leitast	sþmhen
við	ao
að	cn
gefa	sng
hugmynd	nveo
um	ao
byggingalist	nveo
og	c
lifnaðarhætti	nkfo
í	aþ
Reykjavík	nveþ-s
.	.

Auk	ae
þess	fphee
er	sfg3en
boðið	sþghen
upp	aa
á	ao
fjölda	nkeo
sýninga	nvfe
og	c
viðburða	nkfe
sem	ct
tengjast	sfm3fn
einstökum	lkfþsf
þáttum	nkfþ
í	aþ
sögu	nveþ
Reykjavíkurborgar	nvee-s
.	.

Þar	aa
er	sfg3en
einnig	aa
rekin	sþgven
veitingasala	nven
,	,
minjagripaverslun	nven
og	c
á	ao
sumrin	nhfog
er	sfg3en
dagleg	lvensf
leiðsögn	nven
um	ao
safnið	nheog
.	.

Landnámssýningin	nveng
Reykjavík	nven-s
871±2	ta
er	sfg3en
einnig	aa
í	aþ
umsjón	nveþ
Minjasafnsins	nheegs
.	.

Sýningin	nveng
er	sfg3en
í	aþ
Aðalstræti	nheþ-s
16	ta
og	c
var	sfg3eþ
opnuð	sþgven
í	aþ
maí	nkeþ
árið	nheog
2006	ta
.	.

Þegar	c
grafið	sþghen
var	sfg3eþ
fyrir	aþ
nýju	lheþsf
húsi	nheþ
á	aþ
horni	nheþ
Aðalstrætis	nhee-s
og	c
Túngötu	nvee-s
fannst	sfm3eþ
skálarúst	nven
frá	aþ
10.	ta
öld	nveþ
og	c
myndar	sfg3en
hún	fpven
nú	aa
miðpunkt	nkeo
sýningarinnar	nveeg
(	(
Minjasafn	nhen-s
Reykjavíkur	nvee-s
,	,
e.d.	as
)	)
.	.

Samkvæmt	aþ
áætlun	nveþ
fyrir	ao
árið	nheog
2007	ta
eru	sfg3fn
starfsmenn	nkfn
Minjasafnsins	nheegs
35	ta
í	aþ
15,9	ta
stöðugildum	nhfþ
.	.

Fjárhagsrammi	nken
fyrir	ao
árið	nheog
2007	ta
er	sfg3en
109.915.000	ta
krónur	nvfn
.	.

Gestafjöldi	nken
er	sfg3en
áætlaður	sþgken
70.000	ta
manns	nkee
á	aþ
árinu	nheþg
og	c
þar	aa
af	aa
er	sfg3en
gert	sþghen
ráð	nhen
fyrir	aþ
12.000	ta
skólanemum	nkfþ
í	aþ
skipulögðum	lvfþsf
heimsóknum	nvfþ
.	.

Fjöldi	nken
viðburða	nkfe
verða	sfg3fn
50	ta
og	c
fjöldi	nken
útgáfuverka	nhfe
10	ta
.	.

Starfsmannafjöldi	nken
Landnámssýningarinnar	nveegs
er	sfg3en
5	ta
í	aþ
2,75	ta
stöðugildum	nhfþ
.	.

Fjárhagsrammi	nken
sýningarinnar	nveeg
er	sfg3en
49.501.000	ta
.	.

Borgarminjavörður	nken
,	,
Guðný	nven-s
Gerður	nven-s
Gunnarsdóttir	nven-s
,	,
veitir	sfg3en
Minjasafni	nheþ-s
Reykjavíkur	nvee-s
forstöðu	nveo
(	(
Reykjavíkurborg	nven-s
,	,
2007	ta
)	)
.	.

Þriðji	lkenvf
kafli	nken
-	-
Leiðin	nveng
til	ae
Swann	e
3.1.	ta

Hinn	gken
andvaka	lkenof
sögumaður	nken
Þórbergur	nken-s
og	c
Proust	e
eiga	sfg3fn
margt	aa
sameiginlegt	lheosf
í	aþ
aðferðafræði	nveþ
sinni	feveþ
,	,
t.d.	as
á	sfg3en
þessi	faven
setning	nven
úr	aþ
Bréfi	nheþ-s
til	ae
Láru	nvee-s
vel	aa
við	ao
þá	fpkfo
báða	fokfo
:	:
«	«
Örlítið	lhensf
brot	nhen
úr	aþ
æfisögu	nveþ
manns	nkee
,	,
húss	nhee
,	,
bæjar	nkee
,	,
þorps	nhee
,	,
sveitar	nvee
,	,
getur	sfg3en
verið	ssg
ódauðlegt	lhensf
listaverk	nhen
,	,
ef	c
sá	faken
segir	sfg3en
,	,
sem	ct
kann	sfg3en
með	ao
sögur	nvfo
að	cn
fara	sng
.	.
»	»

Í	aþ
Leiðinni	nveþgs
til	ae
Swann	e
stillir	sfg3en
Proust	e
fókusinn	nkeog
þröngt	aa
á	ao
ýmis	fohfo
smáatriði	nhfo
,	,
svo	aa
sem	c
sögu	nveo
manns	nkee
,	,
húss	nhee
og	c
bæjar	nkee
,	,
og	c
þenur	sfg3en
út	aa
í	ao
yfirstærð	nveo
.	.

Maður	nken
áttar	sfg3en
sig	fpkeo
þess	fphee
vegna	ae
illa	aa
á	aþ
stóru	lveþvf
myndinni	nveþg
;	;
um	ao
hvað	fsheo
bókin	nveng
raunverulega	aa
fjallar	sfg3en
.	.

Án	ae
þess	fphee
að	cn
þykjast	snm
skilja	sng
hana	fpveo
nákvæmlega	aa
ætla	sfg1en
ég	fp1en
því	aa
að	cn
hefja	sng
umfjöllunina	nveog
á	aþ
því	fpheþ
að	cn
útskýra	sng
stóru	lveovf
myndina	nveog
,	,
þ.e.	as
hvernig	aa
hún	fpven
er	sfg3en
byggð	sþgven
upp	aa
.	.

Og	c
svo	aa
mun	sfg1en
ég	fp1en
þrengja	sng
fókusinn	nkeog
á	ao
einn	fokeo
hluta	nkeo
hennar	fpvee
til	ae
að	cn
túlka	sng
í	aþ
samhengi	nheþ
við	ao
Þórberg	nkeo-s
og	c
sjálfsævisögufræðin	nhfog
.	.

Ytri	lkenvm
tími	nken
Leiðarinnar	nveegs
til	ae
Swann	e
er	sfg3en
ein	tfven
nótt	nven
.	.

Sögumaðurinn	nkeng
sofnar	sfg3en
út	aa
frá	aþ
bók	nveþ
kvöldið	nheog
áður	aa
og	c
vaknar	sfg3en
á	aþ
miðnætti	nheþ
.	.

Eftir	ao
það	fpheo
liggur	sfg3en
hann	fpken
andvaka	lkenof
til	ae
morguns	nkee
og	c
á	aa
meðan	c
rifjar	sfg3en
hann	fpken
upp	aa
æsku	nveo
sína	feveo
.	.

En	c
þetta	fahen
er	sfg3en
ekki	aa
ein	foven
ákveðin	lvensf
nótt	nven
heldur	c
margar	lvfnsf
svipaðar	lvfnsf
.	.

Hann	fpken
segir	sfg3en
:	:

Staðan	nveng
er	sfg3en
þessi	faven
:	:
sögumaðurinn	nkeng
er	sfg3en
að	cn
segja	sng
frá	aþ
því	fpheþ
að	c
hann	fpken
liggi	svg3en
oft	aa
andvaka	lkenof
og	c
endursegir	sfg3en
hugsanir	nvfo
sínar	fevfo
frá	aþ
þessum	favfþ
nóttum	nvfþ
.	.

Hann	fpken
rifjar	sfg3en
helst	aae
upp	aa
tvær	tfvfo
sögur	nvfo
:	:
árin	nhfog
í	aþ
Combray	e
og	c
söguna	nveog
«	«
Ástin	nvengs
hans	fpkee
Swann	e
»	»
,	,
sem	ct
er	sfg3en
II.	lkensf
hluti	nken
verksins	nheeg
.	.

Sagan	nveng
um	ao
ástarsamband	nheo
Swann	e
og	c
Odette	e
er	sfg3en
eins	aa
og	c
sjálfstæð	lvensf
skáldsaga	nven
og	c
segir	sfg3en
frá	aþ
atburðum	nkfþ
frá	aþ
því	fpheþ
áður	aa
en	c
Marcel	e
fæðist	sfm3en
.	.

En	c
hún	fpven
kallast	sfm3en
á	aa
við	ao
III.	lkeovf
hluta	nkeo
verksins	nheeg
sem	ct
fjallar	sfg3en
um	ao
ást	nveo
Marcels	e
á	aþ
Gilberte	e
,	,
dóttur	nveþ
Swann	e
og	c
Odette	e
.	.

Þessar	favfn
sögur	nvfn
skipa	sfg3fn
sérstakan	lkeosf
sess	nkeo
í	aþ
sjálfsmynd	nveþ
sögumannsins	nkeeg
.	.

Þetta	fahen
eru	sfg3fn
sögurnar	nvfng
sem	ct
hann	fpken
segir	sfg3en
sjálfum	fbkeþ
sér	fpkeþ
til	ae
að	cn
svara	sng
spurningunni	nveþg
:	:
hver	fsken
er	sfg1en
ég	fp1en
?	?

Sagan	nveng
um	ao
ástina	nveog
hans	fpkee
Swann	e
fjallar	sfg3en
um	ao
upplifun	nveo
hans	fpkee
á	aþ
ástinni	nveþg
og	c
fleiru	lheþvm
,	,
en	c
ég	fp1en
ætla	sfg1en
ekki	aa
að	cn
fara	sng
nánar	aam
út	aa
í	ao
það	fpheo
hér	aa
.	.

Ég	fp1en
ætla	sfg1en
að	cn
skoða	sng
sérstaklega	aa
söguna	nveog
um	ao
árin	nhfog
í	aþ
Combray	e
sem	ct
ég	fp1en
tel	sfg1en
að	c
fjalli	svg3en
um	ao
það	fpheo
hvernig	aa
sjálfsvitund	nven
Marcels	e
verður	sfg3en
til	aa
í	aþ
ákveðnu	lheþsf
umhverfi	nheþ
og	c
þroskast	sfm3en
þar	aa
til	aa
hann	fpken
áttar	sfg3en
sig	fpkeo
á	aþ
því	fpheþ
að	c
hann	fpken
vill	sfg3en
verða	sng
rithöfundur	nken
.	.

Þrátt	aa
fyrir	ao
að	c
það	fphen
sé	svg3en
erfitt	lhensf
að	cn
átta	sng
sig	fpkeo
á	aþ
tímanum	nkeþg
í	aþ
fyrra	lheþvm
bindi	nheþ
Leiðarinnar	nveegs
til	ae
Swann	e
skiptir	sfg3en
einn	tfken
tímapunktur	nken
því	fpheþ
afgerandi	aa
í	ao
tvennt	lheosf
.	.

Það	fphen
er	sfg3en
þegar	c
Marcel	e
bragðar	sfg3en
magðalenuköku	nveo
bleytta	lveosf
í	aþ
tei	nheþ
,	,
sem	ct
minnir	sfg3en
hann	fpkeo
á	ao
sams	fbkee
konar	nkee
kökur	nvfo
sem	ct
hann	fpken
fékk	sfg3eþ
heima	aa
hjá	aþ
Léonie	e
frænku	nveþ
í	aþ
Combray	e
.	.

Fyrir	ao
kökuátið	nheog
mundi	sfg3eþ
hann	fpken
aðeins	aa
eitt	tfheo
úr	aþ
æsku	nveþ
sinni	feveþ
:	:
Kvöldið	nheog
þegar	c
hann	fpken
kvíðir	sfg3en
því	fpheþ
að	c
mamma	nven
hans	fpkee
muni	svg3en
ekki	aa
kyssa	sng
hann	fpkeo
góða	lveosf
nótt	nveo
,	,
en	c
sem	ct
endar	sfg3en
á	aþ
því	fpheþ
að	c
hún	fpven
kyssir	sfg3en
hann	fpkeo
ekki	aa
aðeins	aa
heldur	aam
gistir	sfg3en
í	aþ
herberginu	nheþg
hans	fpkee
um	ao
nóttina	nveog
.	.

Til	ae
að	cn
hugga	sng
drenginn	nkeog
sinn	fekeo
tekur	sfg3en
hún	fpven
upp	aa
afmælisgjöfina	nveog
fyrir	ao
tímann	nkeog
,	,
sem	ct
reynist	sfm3en
vera	sng
nokkrar	fovfn
skáldsögur	nvfn
,	,
Djöflapollur	nken-s
,	,
Francois	e
le	e
Champi	e
,	,
Fadette	e
litla	lvenvf
og	c
Blásararnir	e
fræknu	lkfnvf
eftir	ao
George	e
Sand	e
,	,
og	c
les	sfg3en
fyrir	ao
hann	fpkeo
.	.

Þannig	aa
tengist	sfm3en
fyrsta	lvenve
,	,
og	c
á	aþ
þeim	fakeþ
tíma	nkeþ
,	,
eina	lvenvf
minning	nven
hans	fpkee
frá	aþ
Combray	e
fyrstu	lhfþve
kynnum	nhfþ
hans	fpkee
af	aþ
bókmenntum	nvfþ
.	.

Eftir	ao
kökuátið	nheog
koma	sfg3fn
120	ta
blaðsíður	nvfn
af	aþ
minningum	nvfþ
frá	aþ
sumardvalarstað	nkeþ
fjölskyldunnar	nveeg
til	ae
hans	fpkee
aftur	aa
og	c
þær	fpvfn
mynda	sfg3fn
II.	lkeosf
kafla	nkeo
.	.

Sá	faken
kafli	nken
er	sfg3en
hliðstæð	lvensf
þroskasaga	nven
við	ao
þá	faveo
