Fossavatnsgangan	nvengs
gerir	sfg3en
t.d.	as
Óðni	nkeþ-s
kannski	aa
hærra	aam
undir	aþ
höfði	nheþ
en	c
ástæða	nven
er	sfg3en
til	aa
.	.

Það	fphen
er	sfg3en
alls	fohee
ekki	aa
víst	lhensf
að	c
Óðinn	nken-s
hafi	svg3en
verið	ssg
æðsti	lkenve
guðinn	nkeng
eða	c
sá	faken
guð	nken
sem	ct
mestur	lkense
átrúnaður	nken
var	sfg3eþ
á	aa
af	aþ
karlguðunum	nkfþg
,	,
en	c
skáldin	nhfng
setja	sfg3fn
hann	fpkeo
í	ao
dálítið	lheosf
forsæti	nheo
því	fpheþ
hann	fpken
er	sfg3en
þeirra	fphfe
sérstaki	lkenvf
guð	nken
.	.

Ingunn	nven-s
segir	sfg3en
Snorra	nkeo-s
róa	sng
á	ao
sömu	fbhfo
mið	nhfo
varðandi	slg
Frigg	nveo-s
:	:

Frigg	nven-s
er	sfg3en
kona	nven
Óðins	nkee-s
og	c
hlýtur	sfg3en
því	aa
að	cn
vera	sng
æðst	lvense
.	.

Hún	fpven
er	sfg3en
líka	aa
gyðja	nven
sem	ct
hentar	sfg3en
betur	aam
þeirri	faveþ
kristnu	lveþvf
heimsmynd	nveþ
sem	ct
komin	sþgven
er	sfg3en
á	aa
þegar	c
Snorri	nken-s
skrifar	sfg3en
.	.

Hún	fpven
er	sfg3en
ekkert	fohen
mikið	aa
að	cn
hlaupa	sng
útundan	aþ
sér	fpveþ
frá	aþ
eiginmanni	nkeþ
sínum	fekeþ
og	c
er	sfg3en
einnig	aa
hin	gven
harmræna	lvenvf
móðir	nven
Baldurs	nkee-s
,	,
sem	ct
grætur	sfg3en
þegar	c
hann	fpken
deyr	sfg3en
.	.

Sú	faven
ímynd	nven
passar	sfg3en
mjög	aa
vel	aa
við	ao
Maríumyndina	nveogs
og	c
Frigg	nven-s
hæfir	sfg3en
því	aa
betur	aam
sem	c
æðsta	lvenve
gyðjan	nveng
og	c
fyrirmynd	nven
kvenna	nvfe
á	aþ
kristnum	lkeþsf
tíma	nkeþ
heldur	aam
en	c
Freyja	nven-s
sem	ct
var	sfg3eþ
frjósemisgyðja	nven
,	,
sjálfstæð	lvensf
og	c
ástgjörn	lvensf
.	.

Fyrst	aae
og	c
fremst	aae
kennslurit	nhen
í	aþ
skáldskap	nkeþ
og	c
bragfræði	nveþ
Ingunn	nven-s
sýnir	sfg3en
skáldskaparhugsjónum	nvfþ
Snorra	nkee-s
engu	foheþ
að	aa
síður	aam
skilning	nkeo
.	.

Tilgangur	nken
Snorra	nkee-s
með	aþ
Snorra-Eddu	nveþ-s
er	sfg3en
að	cn
skrifa	sng
kennslubók	nveo
í	aþ
skáldskap	nkeþ
og	c
bragfræði	nveþ
.	.

Það	fphen
þarf	sfg3en
því	aa
ekki	aa
endilega	aa
að	cn
hafa	sng
verið	ssg
grundvallaratriði	nhen
að	cn
segja	sng
frá	aþ
heiðninni	nveþg
alveg	aa
rétt	aa
og	c
hann	fpken
virðist	sfm3en
leyfa	sng
sér	fpkeþ
að	cn
laga	sng
hana	fpveo
til	aa
og	c
setja	sng
fram	aa
mynd	nveo
sem	ct
er	sfg3en
ástættanleg	lvensf
í	aþ
hans	fpkee
samfélagi	nheþ
.	.

Hann	fpken
er	sfg3en
mjög	aa
áfram	aa
um	ao
að	cn
viðhalda	sng
skáldalistinni	nveþg
og	c
notar	sfg3en
til	ae
þess	fphee
ýmis	fohfo
meðul	nhfo
.	.

Hvort	c
þessi	faven
framsetning	nven
Snorra	nkee-s
hafi	svg3en
haft	ssg
einhver	fohfo
áhrif	nhfo
á	ao
kvenímynd	nveo
þess	fakee
tíma	nkee
segist	sfm3en
Ingunn	nven-s
ekki	aa
vilja	sng
staðhæfa	sng
.	.

Á	aþ
þessum	fakeþ
tíma	nkeþ
er	sfg3en
kaþólskan	nveng
í	aþ
öndvegi	nheþ
og	c
ímynd	nveþ
Maríu	nvee-s
sterk	lvensf
.	.

Við	fp1fn
vitum	sfg1fn
ekki	aa
um	ao
margar	lvfosf
konur	nvfo
sem	ct
voru	sfg3fþ
að	cn
yrkja	sng
og	c
þar	aa
af	aa
leiðandi	slg
að	cn
kynna	sng
sér	fpvfþ
þessi	fahfo
skáldskaparfræði	nhfo
Snorra	nkee-s
,	,
svo	aa
ekki	aa
er	sfg3en
gott	lhensf
að	cn
átta	sng
sig	fpkeo
á	aþ
því	fpheþ
hvort	c
þessi	faven
mynd	nven
hafi	svg3en
haft	ssg
einhver	fohfo
afgerandi	lhfoof
áhrif	nhfo
.	.

Hitt	fahen
er	sfg3en
ljóst	lhensf
að	c
Friggjarmyndin	nvengs
er	sfg3en
í	aþ
svo	aa
miklu	lheþsf
meira	lheþvm
samræmi	nheþ
við	ao
hina	gveo
kristnu	lveovf
fyrirmynd	nveo
að	c
hún	fpven
hefur	sfg3en
bara	aa
bætt	ssg
þar	aa
í	aa
.	.

Buslað	sþghen
í	aþ
bárunum	nvfþg
:	:
Seyðisfjörður	nken-s
|	|
Nemendur	nkfn
í	aþ
grunnskólanum	nkeþg
á	aþ
Seyðisfirði	nkeþ-s
luku	sfg3fþ
á	aþ
dögunum	nkfþg
síðasta	lheþve
samræmda	lheþvf
prófinu	nheþg
,	,
sem	ct
var	sfg3eþ
í	aþ
stærðfræði	nveþ
.	.

Þau	fphfn
brugðu	sfg3fþ
á	aþ
leik	nkeþ
eftir	ao
prófið	nheog
og	c
heimsóttu	sfg3fþ
varðskipið	nheog
Tý	nkeo-s
.	.

--	--
>	>
Seyðisfjörður	nken-s
|	|
Nemendur	nkfn
í	aþ
grunnskólanum	nkeþg
á	aþ
Seyðisfirði	nkeþ-s
luku	sfg3fþ
á	aþ
dögunum	nkfþg
síðasta	lheþve
samræmda	lheþvf
prófinu	nheþg
,	,
sem	ct
var	sfg3eþ
í	aþ
stærðfræði	nveþ
.	.

Þau	fphfn
brugðu	sfg3fþ
á	aþ
leik	nkeþ
eftir	ao
prófið	nheog
og	c
heimsóttu	sfg3fþ
varðskipið	nheog
Tý	nkeo-s
.	.

Varðskipsmenn	nkfn
tóku	sfg3fþ
krökkunum	nkfþg
vel	aa
og	c
sýndu	sfg3fþ
þeim	fpkfþ
skipið	nheog
frá	aþ
stefni	nheþ
aftur	aa
í	ao
skut	nkeo
.	.

Hámarki	nheþ
náði	sfg3eþ
heimsóknin	nveng
þegar	c
krakkarnir	nkfng
fengu	sfg3fþ
að	cn
skola	sng
af	aþ
sér	fpkfþ
próflúann	nkeog
í	aþ
brimsöltum	lkeþsf
sjónum	nkeþg
.	.

Íklædd	lhfnsf
björgunargöllum	nkfþ
stukku	sfg3fþ
þeir	fpkfn
frá	aþ
borði	nheþ
og	c
út	aa
í	ao
sjó	nkeo
,	,
sumum	fokfþ
þótti	sfg3eþ
það	fphen
háskalegt	lhensf
en	c
komust	sfm3fþ
svo	aa
á	ao
bragðið	nheog
og	c
stukku	sfg3fþ
aftur	aa
og	c
aftur	aa
og	c
aftur	aa
...	...

Nútímabyggingarlist	nven
eða	c
umhverfisspjöll	nhfn
?	?

:	:
Byrjað	sþghen
er	sfg3en
að	cn
reisa	sng
fyrsta	lheove
fjölbýlishúsið	nheog
af	aþ
fjórum	tfhfþ
sem	ct
skipulögð	sþghfn
hafa	sfg3fn
verið	ssg
á	aþ
Oddnýjarhæð	nveþ-s
á	aþ
Reyðarfirði	nkeþ-s
.	.

Skiptar	lvfnsf
skoðanir	nvfn
eru	sfg3fn
um	ao
þessar	favfo
byggingar	nvfo
,	,
einkum	aa
þó	aa
hæð	nveo
þeirra	fpvfe
og	c
staðsetningu	nveo
,	,
ekki	aa
síst	aae
eftir	ao
að	c
byrjað	sþghen
var	sfg3eþ
að	cn
byggja	sng
lágreist	lhfosf
hús	nhfo
á	aþ
lóðum	nvfþ
í	aa
kring	aa
.	.

Ljóst	lhensf
er	sfg3en
að	c
svipmót	nhen
þorpsins	nheeg
breytist	sfm3en
varanlega	aa
og	c
sitt	fehen
sýnist	sfm3en
hverjum	fokeþ
í	aþ
þeim	fahfþ
efnum	nhfþ
.	.

--	--
>	>
Leiguíbúðir	nvfn-s
í	aþ
Fjarðabyggð	nveþ-s
byggja	sfg3fn
húsin	nhfog
og	c
eins	aa
og	c
nafnið	nheng
gefur	sfg3en
til	ae
kynna	nhfe
verða	sfg3fn
í	aþ
þeim	fphfþ
leiguíbúðir	nvfn
,	,
104	ta
talsins	nheeg
,	,
en	c
alls	aa
verða	sfg3fn
26	ta
íbúðir	nvfn
í	aþ
hverju	foheþ
sjö	tfvfe
hæða	nvfe
húsi	nheþ
.	.

Menn	nkfn
eru	sfg3fn
almennt	aa
sammála	lkfnof
um	ao
að	c
húsin	nhfng
séu	svg3fn
lagleg	lhfnsf
að	aa
utan	aa
og	c
mæti	svg3fn
brýnni	lveþsf
þörf	nveþ
fyrir	ao
leiguhúsnæði	nheo
,	,
en	c
einhverjir	fokfn
eru	sfg3fn
smeykir	lkfnsf
um	ao
að	c
þau	fphfn
beri	svg3fn
lágreista	lveosf
byggðina	nveog
ofurliði	nheþ
og	c
séu	svg3fn
ekki	aa
hentug	lhfnsf
á	aþ
Reyðarfirði	nkeþ-s
.	.

Arkitekt	nken
,	,
sem	ct
Morgunblaðið	nhengs
ræddi	sfg3eþ
við	aa
og	c
mikið	aa
hefur	sfg3en
komið	ssg
nálægt	aþ
skipulagi	nheþ
á	aþ
smærri	lkfþvm
stöðum	nkfþ
,	,
segir	sfg3en
byggingu	nveo
fjölbýlishúsanna	nhfeg
á	aþ
Reyðarfirði	nkeþ-s
nánast	aae
vera	sng
umhverfisspjöll	nhfn
.	.

Húsin	nhfng
eru	sfg3fn
engan	fokeo
veginn	nkeog
í	ao
takt	nkeo
við	ao
byggðina	nveog
sem	ct
fyrir	aa
segir	sfg3en
arkitektinn	nkeng
,	,
en	c
vill	sfg3en
ekki	aa
láta	sng
nafns	nhee
síns	fehee
getið	sþghen
vegna	ae
hagsmunatengsla	nhfe
austur	aa
um	aa
.	.

Þetta	fahen
er	sfg3en
smágerð	lvensf
,	,
lágreist	lvensf
byggð	nven
og	c
svo	aa
koma	sfg3fn
eins	aa
og	c
skrattinn	nkeng
úr	aþ
sauðarleggnum	nkeþg
fjögur	tfhfn
sjö	tfvfe
hæða	nvfe
há	lhfnsf
hús	nhfn
.	.

Menn	nkfn
eru	sfg3fn
að	cn
yfirfæra	sng
tískufyrirbæri	nheo
frá	aþ
þéttbýli	nheþ
yfir	aa
í	ao
litla	lkfosf
bæi	nkfo
.	.

Ekki	aa
er	sfg3en
þetta	fahen
neitt	fohen
ódýrara	lhenvm
;	;
ekki	aa
er	sfg3en
landið	nheng
dýrt	lhensf
þarna	aa
svo	aa
menn	nkfn
hefðu	svg3fþ
eins	aa
getað	ssg
lagt	ssg
þessar	favfo
blokkir	nvfo
á	ao
hliðina	nveog
og	c
fengið	ssg
sama	fbkeo
fjölda	nkeo
af	aþ
íbúðum	nvfþ
.	.

Þar	aa
sem	c
lítið	lhensf
landrými	nhen
er	sfg3en
eftir	aa
og	c
lóðir	nvfn
dýrar	lvfnsf
er	sfg3en
skiljanlegt	lhensf
að	c
menn	nkfn
byggi	svg3fn
á	ao
þennan	fakeo
hátt	nkeo
,	,
en	c
á	aþ
Reyðarfirði	nkeþ-s
eru	sfg3fn
ekki	aa
slíkar	fbvfn
forsendur	nvfn
.	.

Viðmælandi	nken
Morgunblaðsins	nheegs
bætir	sfg3en
við	aa
að	c
arkitektar	nkfn
séu	svg3fn
almennt	aa
mjög	aa
undrandi	lkfnof
á	aþ
þessari	faveþ
hönnun	nveþ
.	.

Nútímaþróun	nven
að	cn
hanna	sng
stærri	lhfovm
hús	nhfo
Annar	foken
arkitekt	nken
sem	ct
rætt	sþghen
var	sfg3eþ
við	aa
segir	sfg3en
að	c
það	fphen
sé	svg3en
ekkert	fohen
sem	ct
banni	svg3en
mönnum	nkfþ
að	cn
byggja	sng
upp	aa
í	ao
loftið	nheog
og	c
fólk	nhen
megi	svg3en
ekki	aa
vera	sng
alltof	aa
púkalegt	lhensf
í	aþ
hugsun	nveþ
.	.

Ef	c
hlutirnir	nkfng
fara	sfg3fn
eitthvað	fohen
út	aa
fyrir	ao
hið	gheo
venjubundna	lheovf
verða	sfg3fn
menn	nkfn
skelfingu	nveþ
lostnir	sþgkfn
og	c
byrja	sfg3fn
endalaust	lheosf
argaþras	nheo
.	.

Kannski	aa
hefðu	svg3fþ
blokkirnar	nvfng
ekki	aa
átt	ssg
að	cn
vera	sng
alveg	aa
svona	aa
háar	lvfnsf
,	,
hefðu	svg3fþ
mátt	ssg
vera	sng
meira	aam
blandaðar	lvfnsf
,	,
eitthvað	fohen
lægri	lvfnvm
og	c
fjölbreyttari	lvfnvm
.	.

Þetta	fahen
er	sfg3en
samt	aa
nútíminn	nkeng
og	c
þróunin	nveng
sú	faven
að	cn
gera	sng
stærri	lhfovm
hús	nhfo
.	.

Leigumarkaður	nken
í	aþ
Fjarðabyggð	nveþ-s
er	sfg3en
orðinn	sþgken
mjög	aa
erfiður	lkensf
og	c
eins	aa
og	c
einhver	foken
sagði	sfg3eþ
,	,
er	sfg3en
varla	aa
hægt	lhensf
að	cn
fá	sng
þar	aa
leigt	lheosf
tjaldstæði	nheo
nú	aa
til	ae
dags	nkee
,	,
svo	aa
mikil	lvensf
er	sfg3en
ásóknin	nveng
í	ao
húsnæði	nheo
.	.

Reiknað	sþghen
er	sfg3en
með	aþ
mikilli	lveþsf
fólksfjölgun	nveþ
í	aþ
sveitarfélaginu	nheþg
næstu	lhfove
misseri	nhfo
og	c
jafnvel	aa
talað	sþghen
um	ao
að	c
allt	fohen
að	aa
400	ta
hundruð	tfvfo
íbúðir	nvfo
skorti	svg3en
til	ae
að	cn
mæta	sng
þeirri	faveþ
þörf	nveþ
sem	ct
mun	sfg3en
skapast	snm
í	ao
kjölfar	nheo
byggingar	nvee
álvers	nhee
.	.

Um	aa
300	ta
íbúðir	nvfn
í	aþ
Fjarðabyggð	nveþ-s
eru	sfg3fn
þegar	aa
á	aþ
teikniborðinu	nheþg
eða	c
í	aþ
byggingu	nveþ
.	.

Leigumarkaðurinn	nkeng
þarfnast	sfm3en
stórrar	lveesf
innspýtingar	nvee
:	:

Ég	fp1en
held	sfg1en
að	c
menn	nkfn
verði	svg3fn
alltaf	aa
að	cn
horfa	sng
á	ao
heildarmyndina	nveog
.	.

--	--
>	>

Ég	fp1en
held	sfg1en
að	c
menn	nkfn
verði	svg3fn
alltaf	aa
að	cn
horfa	sng
á	ao
heildarmyndina	nveog
.	.

Þetta	fahen
er	sfg3en
stór	lvensf
framkvæmd	nven
og	c
aldrei	aa
þannig	aa
að	c
menn	nkfn
séu	svg3fn
allir	fokfn
sammála	lkfnof
um	ao
slíkt	fbheo
,	,
segir	sfg3en
Franz	e
Jezorski	e
,	,
fasteignasali	nken
og	c
stjórnarformaður	nken
Leiguíbúða	nvfe-s
í	aþ
Fjarðabyggð	nveþ-s
,	,
sem	ct
reisa	sfg3fn
fjölbýlishúsin	nhfog
á	aþ
Reyðarfirði	nkeþ-s
.	.

Þrjú	to
þúsund	nhfn
manns	nkee
búa	sfg3fn
í	aþ
Fjarðabyggð	nveþ-s
og	c
það	fphen
komu	sfg3fþ
inn	aa
fjögur	tfhfn
mótmæli	nhfn
við	aþ
skipulaginu	nheþg
eftir	ao
mjög	aa
ítarlega	lveosf
kynningu	nveo
á	aþ
byggingunum	nvfþg
.	.

Við	fp1fn
höfum	sfg1fn
fundið	ssg
mjög	aa
mikinn	lkeosf
meðbyr	nkeo
með	aþ
verkefninu	nheþg
.	.

Í	aþ
Fjarðabyggð	nveþ-s
er	sfg3en
gríðarleg	lvensf
húsnæðisþörf	nven
núna	aa
og	c
leiguíbúðaformið	nheng
hentar	sfg3en
afar	aa
vel	aa
til	ae
að	cn
leysa	sng
hana	fpveo
.	.

Maður	nken
getur	sfg3en
sett	ssg
sig	fpkeo
í	ao
spor	nhfo
þess	fahee
fólks	nhee
sem	ct
er	sfg3en
að	cn
flytja	sng
á	ao
Reyðarfjörð	nkeo-s
og	c
þekkir	sfg3en
staðinn	nkeog
ekki	aa
neitt	fohen
.	.

Það	fphen
þarf	sfg3en
ekki	aa
endilega	aa
að	cn
kaupa	sng
fasteign	nveo
heldur	c
getur	sfg3en
leigt	ssg
sér	fpheþ
íbúð	nveo
í	ao
ákveðinn	lkeosf
tíma	nkeo
meðan	c
það	fphen
athugar	sfg3en
hvernig	aa
því	fpheþ
líkar	sfg3en
við	ao
staðinn	nkeog
og	c
getur	sfg3en
svo	aa
í	aþ
framhaldinu	nheþg
keypt	ssg
ef	c
því	fpheþ
líst	sfm3en
á	ao
sig	fpheo
.	.

Þetta	faheo
leiguíbúðaform	nheo
er	sfg3en
ekki	aa
hægt	lhensf
að	cn
koma	sng
með	ao
nema	c
í	aþ
fjölbýlishúsaformi	nheþ
.	.

Það	fphen
leigir	sfg3en
enginn	foken
raðhús	nheo
eða	c
einbýlishús	nheo
,	,
það	fphen
bara	aa
stendur	sfg3en
ekki	aa
undir	aþ
sér	fpheþ
.	.

Menn	nkfn
hafa	sfg3fn
sagt	ssg
að	c
það	fphen
sé	svg3en
sjaldgæft	lhensf
að	c
úti	aa
á	aþ
landi	nheþ
séu	svg3fn
byggð	sþghfn
svona	aa
há	lhfnsf
hús	nhfn
,	,
en	c
þau	fphfn
eru	sfg3fn
bara	aa
ekki	aa
há	lhfnsf
.	.

Í	aþ
borginni	nveþg
eru	sfg3fn
tólf	tfvfe
hæða	nvfe
há	lhfnsf
hús	nhfn
,	,
en	c
húsin	nhfng
á	aþ
Reyðarfirði	nkeþ-s
verða	sfg3fn
kjallari	nken
og	c
sex	tfvfn
hæðir	nvfn
.	.

Fyrir	aa
nú	aa
utan	ao
að	c
það	fphen
er	sfg3en
búið	lhensf
að	cn
byggja	sng
nákvæmlega	aa
sams	fbkee
konar	nkee
hús	nhfo
á	aþ
Egilsstöðum	nkfþ-s
.	.

Af	aþ
hverju	fsheþ
er	sfg3en
hægt	lhensf
að	cn
byggja	sng
svona	lhfoof
hús	nhfo
á	aþ
Egilsstöðum	nkfþ-s
en	c
ekki	aa
á	aþ
Reyðafirði	nkeþ-s
?	?

Af	aþ
hverju	fsheþ
breytir	sfg3en
það	fphen
bæjarímyndinni	nveþg
á	aþ
Reyðarfirði	nkeþ-s
en	c
ekki	aa
á	aþ
Egilsstöðum	nkfþ-s
?	?

Leigumarkaðurinn	nkeng
í	aþ
Fjarðabyggð	nveþ-s
hefur	sfg3en
margfaldast	ssm
á	aþ
undanförnum	lkfþsf
mánuðum	nkfþ
og	c
ef	c
ekki	aa
kemur	sfg3en
innspýting	nven
inn	aa
í	ao
hann	fpkeo
núna	aa
með	ao
alvöru	nvee
framboð	nheo
á	ao
markaðinn	nkeog
verður	sfg3en
skelfilegt	lhensf
ástand	nhen
á	aþ
leigumarkaði	nkeþ
í	aþ
sveitarfélaginu	nheþg
,	,
segir	sfg3en
Franz	e
.	.

Ætla	sfg3fn
ekki	aa
að	cn
ganga	sng
í	ao
fordómagildruna	nveog
:	:

Ég	fp1en
er	sfg1en
meðal	ae
annars	fohee
að	cn
ræða	sng
við	ao
krakkana	nkfog
í	aþ
félagsmiðstöðvum	nvfþ
um	ao
fordóma	nkfo
.	.

--	--
>	>

Ég	fp1en
er	sfg1en
meðal	ae
annars	fohee
að	cn
ræða	sng
við	ao
krakkana	nkfog
í	aþ
félagsmiðstöðvum	nvfþ
um	ao
fordóma	nkfo
.	.

Hið	ghen
fornkveðna	lhenvf
að	c
þekking	nven
eyði	svg3en
ótta	nkeþ
er	sfg3en
enn	aa
í	aþ
fullu	lheþsf
gildi	nheþ
,	,
sagði	sfg3eþ
Sigríður	nven-s
Stefánsdóttir	nven-s
,	,
æskulýðs-	nken
og	c
íþróttafulltrúi	nken
Fjarðabyggðar	nvee-s
,	,
þegar	c
Morgunblaðið	nhengs
innti	sfg3eþ
hana	fpveo
eftir	aþ
helstu	lhfþve
viðfangsefnum	nhfþ
.	.

Við	fp1fn
þurfum	sfg1fn
að	cn
koma	sng
umræðunni	nveþg
um	ao
fordóma	nkfo
,	,
fjölmenningu	nveo
og	c
þá	faveo
gullnámu	nveo
,	,
sem	ct
kynni	nhfn
af	aþ
öðrum	fovfþ
þjóðum	nvfþ
eru	sfg3fn
,	,
vel	aa
af	aþ
stað	nkeþ
og	c
gera	sng
það	fpheo
í	aþ
öllum	fokfþ
aldurshópum	nkfþ
til	ae
þess	fphee
að	cn
vekja	sng
og	c
örva	sng
umræðuna	nveog
í	aþ
jafningjahópum	nkfþ
og	c
á	aþ
heimilunum	nhfþg
.	.

Við	fp1fn
þurfum	sfg1fn
að	cn
skapa	sng
hvers	fokee
konar	nkee
samstarfsvettvang	nkeo
allra	fokfe
íbúa	nkfe
Fjarðabyggðar	nvee-s
af	aþ
hvaða	fsheþ
bergi	nheþ
sem	ct
þeir	fpkfn
kunna	sfg3fn
að	cn
vera	sng
brotnir	sþgkfn
.	.

Við	fp1fn
vitum	sfg1fn
að	c
breytingar	nvfn
eru	sfg3fn
í	aþ
vændum	nvfþ
en	c
svo	aa
sem	c
ekkert	foheo
um	aa
hverjar	fsvfn
þeirra	fpvfe
verða	sfg3fn
jákvæðastar	lvfnse
eða	c
neikvæðastar	lvfnse
.	.

Við	fp1fn
vitum	sfg1fn
samt	aa
hvað	fsheo
við	fp1fn
höfum	sfg1fn
.	.

Hvar	aa
ungmennin	nhfng
okkar	fp1fe
eru	sfg3fn
í	ao
dag	nkeo
og	c
getum	sfg1fn
byrjað	ssg
á	aþ
að	cn
uppfræða	sng
þau	fphfo
og	c
undirbúa	sng
undir	ao
það	faheo
sem	ct
koma	sng
skal	sfg3en
.	.

Það	fphen
er	sfg3en
svo	aa
hollt	lhensf
og	c
gott	lhensf
að	cn
kynnast	snm
nýjum	lkfþsf
hlutum	nkfþ
.	.

Vorboði	nken
þegar	c
gólfunum	nhfþg
er	sfg3en
flett	sþghen
ofan	aa
af	aþ
sundlaugunum	nvfþg
Sigríður	nven-s
segir	sfg3en
að	c
áherslurnar	nvfng
í	aþ
hennar	fpvee
starfi	nheþ
liggi	svg3fn
í	aþ
uppbyggingu	nveþ
ytra	lheevm
og	c
innra	lheevm
starfs	nhee
.	.

Sem	c
dæmi	nhen
um	ao
fréttir	nvfo
af	aþ
ytra	lheþvm
starfinu	nheþg
er	sfg3en
að	c
nú	aa
á	sfg3en
að	cn
byggja	sng
sundlaug	nveo
á	aþ
Eskifirði	nkeþ-s
og	c
við	fp1fn
erum	sfg1fn
full	lhfnsf
tilhlökkunar	nvee
yfir	aþ
því	fpheþ
,	,
sérstaklega	aa
sunnan	ae
skarðs	nhee
,	,
því	fpheþ
hér	aa
eru	sfg3fn
einungis	aa
opnar	lvfnsf
sundlaugar	nvfn
á	ao
sumrin	nhfog
þegar	c
gólfin	nhfng
eru	sfg3fn
tekin	sþghfn
af	aþ
íþróttahúsunum	nhfþg
.	.

Það	fphen
er	sfg3en
ákveðinn	lkensf
vorboði	nken
hér	aa
þegar	c
búið	lhensf
er	sfg3en
að	cn
opna	sng
laugarnar	nvfog
á	aþ
Reyðarfirði	nkeþ-s
og	c
Eskifirði	nkeþ-s
.	.

Þá	aa
hefur	sfg3en
verið	ssg
ákveðið	sþghen
að	cn
reisa	sng
íþróttahús	nheo
á	aþ
Reyðarfirði	nkeþ-s
og	c
er	sfg3en
m.a.	as
verið	sþghen
að	cn
kanna	sng
grundvöll	nkeo
þess	fphee
að	cn
byggja	sng
og	c
reka	sng
fjölnota	lheoof
íþróttahús	nheo
.	.

Á	aþ
næstu	lhfþve
árum	nhfþ
horfum	sfg1fn
við	fp1fn
því	aa
upp	aa
á	ao
gjörbyltingu	nveo
í	aþ
íþróttaaðstöðu	nveþ
.	.

Svo	aa
á	sfg3en
að	cn
lagfæra	sng
búningsaðstöðu	nveo
kringum	ao
sundlaugina	nveog
á	aþ
Norðfirði	nkeþ-s
,	,
sem	ct
er	sfg3en
áreiðanlega	aa
eitthvert	fohen
skemmtilegast	aae
staðsetta	lhenvf
íþróttamannvirki	nhen
á	aþ
landinu	nheþg
.	.

Ég	fp1en
held	sfg1en
að	c
það	fphen
sé	svg3en
fátt	lhensf
sem	ct
jafnist	svm3en
á	aa
við	ao
að	cn
synda	sng
þar	aa
baksund	nheo
á	aþ
fallegu	lheþsf
kvöldi	nheþ
,	,
horfa	sng
upp	aa
í	ao
fjöllin	nhfog
úr	aþ
miðjum	lkeþsf
bænum	nkeþg
.	.

Ungmennahús	nhen
af	aþ
einhverju	foheþ
tagi	nheþ
næst	lhense
á	aþ
dagskránni	nveþg
Varðandi	slg
æskulýðsstarfið	nheog
þá	aa
er	sfg3en
verið	sþghen
að	cn
innrétta	sng
nýja	lveosf
félagsmiðstöð	nveo
á	aþ
Norðfirði	nkeþ-s
sem	ct
er	sfg3en
mjög	aa
ánægjulegt	lhensf
.	.

Ég	fp1en
reikna	sfg1en
með	aþ
aukinni	lveþsf
samvinnu	nveþ
í	aþ
starfi	nheþ
félagsmiðstöðvanna	nvfeg
,	,
bæði	c
innan	ae
sveitarfélagsins	nheeg
og	c
utan	ae
þess	fphee
.	.

Það	fahen
sem	ct
brennur	sfg3en
mjög	aa
á	aþ
okkur	fp1fþ
nú	aa
er	sfg3en
tómstundastarf	nhen
16	ta
til	aa
25	ta
ára	nhfe
ungmenna	nhfe
.	.

Einkum	aa
vegna	ae
þess	fphee
að	c
þegar	c
er	sfg3en
kominn	sþgken
menntaskóli	nken
á	aþ
Egilsstöðum	nkfþ-s
og	c
verkmenntaskóli	nken
á	aþ
Norðfirði	nkeþ-s
er	sfg3en
þessi	faken
aldurshópur	nken
meira	aam
í	aþ
heimabyggð	nveþ
en	c
áður	aa
.	.

Því	aa
þarf	sfg3en
að	cn
koma	sng
upp	aa
góðri	lveþsf
aðstöðu	nveþ
fyrir	ao
hann	fpkeo
.	.

Ég	fp1en
þori	sfg1en
ekki	aa
að	cn
segja	sng
neitt	foheo
um	ao
tímasetningar	nvfo
,	,
en	c
það	fphen
er	sfg3en
unnið	sþghen
nokkuð	fohen
markvisst	aa
í	aþ
málinu	nheþg
núna	aa
.	.

Það	fphen
er	sfg3en
hugsanlegt	lhensf
að	c
mætti	svg3eþ
tengja	sng
þetta	faheo
starfsemi	nveþ
n.k.	as
fjölmenningarhúss	nhee
.	.

Ég	fp1en
hef	sfg1en
mikinn	lkeosf
áhuga	nkeo
á	aþ
þeim	fahfþ
málum	nhfþ
m.t.t.	as
þeirra	favfe
breytinga	nvfe
sem	ct
við	fp1fn
erum	sfg1fn
að	cn
upplifa	sng
og	c
eigum	sfg1fn
í	aþ
vændum	nvfþ
í	aþ
Fjarðabyggð	nveþ-s
og	c
nágrannasveitarfélögum	nhfþ
.	.

Bættar	lvfnsf
samgöngur	nvfn
í	aþ
forgrunni	nkeþ
Íþróttalífið	nheng
er	sfg3en
fjörugt	lhensf
í	aþ
Fjarðabyggð	nveþ-s
.	.

Það	fphen
skiptast	sfm3fn
á	aa
skin	nhen
og	c
skúrir	nvfn
í	aþ
rekstri	nkeþ
íþróttafélaganna	nhfeg
eins	aa
og	c
gengur	sfg3en
og	c
veldur	sfg3en
hver	fsken
á	aa
heldur	sfg3en
eins	aa
og	c
annars	fokee
staðar	nkee
.	.

Það	fphen
er	sfg3en
mikill	lkensf
áhugi	nken
á	aþ
íþróttastarfi	nheþ
hér	aa
,	,
sem	ct
sést	sfm3en
t.d.	as
í	aþ
sambandi	nheþ
við	ao
